No,Question,A,B,C,D,Answer,Explanation,Topic,Difficulty
1,Git is primarily a…,Distributed version control system,Centralized issue tracker,Cloud file storage,Continuous integration service,A,Git is a DVCS used to track changes in source code.,Basics,Easy
2,Which command creates a new Git repository in the current directory?,git start,git repo,git init,git new,C,Use `git init` to create a new repository.,Basics,Easy
3,Which command shows the working tree status?,git log,git status,git show,git diff,B,`git status` shows tracked/untracked files and staged changes.,Basics,Easy
4,Which file records patterns of files for Git to ignore?,.gitkeep,.gitignore,.gitingore,git.ignore,B,The ignore patterns live in `.gitignore`.,Basics,Easy
5,What does `git add` do?,Commits files directly,Stages changes to the index,Pushes to remote,Resets files,B,`git add` stages changes to the index for the next commit.,Basics,Easy
6,Which command creates a snapshot of staged changes?,git save,git record,git commit,git stash,C,`git commit` saves staged changes as a new commit.,Basics,Easy
7,Which command shows commit history?,git history,git log,git list,git reflog,B,`git log` displays commit history. `reflog` shows HEAD movements.,Basics,Easy
8,HEAD in Git refers to…,The first commit,The latest tag,Your current branch reference,The remote default branch,C,HEAD points to the current branch (or commit in detached state).,Basics,Easy
9,Detached HEAD means…,"HEAD points directly to a commit, not a branch",The repo is corrupted,You have no remotes,There are merge conflicts,A,Detached HEAD occurs when you checkout a specific commit/tag.,Basics,Easy
10,Which command shows line-by-line changes between working tree and index?,git show,git diff,git view,git scan,B,"`git diff` shows differences not yet staged, or other ranges with flags.",Basics,Easy
11,Which command removes a tracked file from the working tree and index?,git rm,git del,git remove,git purge,A,`git rm` removes the file and stages the deletion.,Basics,Easy
12,Which command renames a tracked file and stages the change?,git rename,git mv,git move,git file mv,B,`git mv` moves/renames a file and stages it.,Basics,Easy
13,What does `.git/` directory contain?,Your global Git config,The repository’s internal metadata and object database,Temporary cache only,Remote cache only,B,"`.git/` stores objects, refs, index, config, hooks, etc.",Basics,Easy
14,Which command initializes a new repo and adds a README in one step (on GitHub)?,git init --readme,Create repo via GitHub UI with 'Add a README',git new readme,git create readme,B,"On GitHub, you can tick 'Add a README' during repo creation.",Basics,Easy
15,Which command lists configured remotes?,git remote -v,git remotes list,git list-remote,git config remotes,A,`git remote -v` shows remote names and URLs.,Basics,Easy
16,Which command configures user name and email for commits (local repo)?,git setup user,git config user.name/email,git user set,git profile,B,Use `git config user.name` and `git config user.email` locally.,Basics,Easy
17,What does `git show <commit>` display by default?,Branch list,Only file names,Commit details and patch,Remote URLs,C,It prints commit metadata and the diff for that commit.,Basics,Easy
18,How to create and switch to a new branch (modern command)?,git branch -c new && git checkout new,git switch -c new,git new-branch new,git checkout -b && git new,B,`git switch -c <branch>` creates and checks out the branch.,Basics,Easy
19,Which command stages parts of a file interactively?,git add --patch,git stage-part,git commit --partial,git chunk,A,`git add -p/--patch` lets you stage hunks selectively.,Basics,Easy
20,Which command lists files committed in the last commit?,git diff --name-only HEAD^ HEAD,git last-files,git status --last,git ls-files --last,A,`git diff --name-only HEAD^ HEAD` lists changed files vs previous commit.,Basics,Easy
21,Fast-forward merge happens when…,Branches diverged with conflicts,Target branch has not advanced since source branched,You rebase first,You squash commits,B,"If target is direct ancestor of source, Git can just move the pointer.",Branches & Merging,Medium
22,Which command merges `feature` into the current branch?,git merge into feature,git merge feature,git pull feature,git combine feature,B,`git merge <branch>` merges that branch into the current one.,Branches & Merging,Easy
